S.No	Message	Old Category	Old Sub Category	Category	Sub Category	New Sub Category	Negative or Not	Remarks	IntegerLabel
191	It's a panic alarm,call fire security desk	Urgent	To Do	Emergency	Fire	E_Fire			1
192	call ambulance immediately	Urgent	To Do	Emergency	Health	E_Health			1
353	he is calling to police, due to emergency at office somebody found died	Emergency	Police	Emergency	Police	E_Police			1
376	He is in traffic , he has asthma, crying for medical support	Emergency	Health	Emergency	Health	E_Health			1
380	Tom met with accident road. Nodody to help him crying for help	Emergency	Health	Emergency	Health	E_Health			1
1417	Someone's calling for help, fire at xx street.	Emergency	Fire	Emergency	Fire	E_Fire			1
1608	Would you be able to call a doctor for me?	Emergency	Health	Emergency	Health	E_Health			1
1645	Tom has called in sick the last three days.	Emergency	Health	Emergency	Health	E_Health			1
1647	Was it Tom who told you to call the police?	Emergency	Police	Emergency	Police	E_Police			1
1693	pick pocketer’s stole my card , I have no money to pay hospital bill , my granny serious ,requesting police help	Emergency	Police	Emergency	Police	E_Police			1
1709	I need to use your phone to call an ambulance.	Emergency	Health	Emergency	Health	E_Health			1
1721	The first thing to do was call for the doctor.	Emergency	Health	Emergency	Health	E_Health			1
1724	Call the police and tell them what you told me.	Emergency	Police	Emergency	Police	E_Police			1
1730	Unless you stop fighting, I'll call the police.	Emergency	Police	Emergency	Police	E_Police			1
1768	We've got to call the police.	Urgent	To Do	Emergency	Police	E_Police			1
1769	temperature is very high , we need to meet doctor , he shivering	Emergency	Health	Emergency	Health	E_Health			1
1781	We had better call the doctor. My maid cut her little finger while clsoing the door blood is bleeding	Emergency	Health	Emergency	Health	E_Health			1
1782	We had better call the police. As unknown perosn found died in front of gate	Emergency	Police	Emergency	Police	E_Health			1
1786	Call the doctor in immediately.	Emergency	Health	Emergency	Health	E_Health			1
1919	thief	General	Personal	Emergency	Police	E_Police			1
1991	why are you following me from past one month?	General	Query	Emergency	Personal	E_Personal			1
1997	Im not feeling well	General	Information	Emergency	Health	E_Health			1
2091	Someone is freaking out in my home	Urgent	Information	Emergency	Police	E_Police			1
2098	John is crying for help as he got fits on road , while travelling , call for ambulance	Emergency	Health	Emergency	Health	E_Health			1
2117	someone is beating me	Emergency	Police	Emergency	Police	E_Police			1
2118	someone is threating me for money	Emergency	Police	Emergency	Police	E_Police			1
2119	Got a threatning call last night	Emergency	Police	Emergency	Police	E_Police			1
2120	I got a threat sms on the phone	Emergency	Police	Emergency	Police	E_Police			1
2121	Some unknown person has entered the house	Emergency	Police	Emergency	Police	E_Police			1
2122	Something suspious going on in neighbour house	Emergency	Police	Emergency	Police	E_Police			1
2123	The house is on fire	Emergency	Fire	Emergency	Fire	E_Fire			1
2126	Nancy told me about the fire in xx street	Emergency	Fire	Emergency	Fire	E_Fire			1
2127	There is a fire in light house	Emergency	Fire	Emergency	Fire	E_Fire			1
2128	Call fire station , fire at next door house	Emergency	Fire	Emergency	Fire	E_Fire			1
2131	The fire burned down ten houses in my lane	Emergency	Fire	Emergency	Fire	E_Fire			1
2133	There is a fire broke out in house call for help	Emergency	Fire	Emergency	Fire	E_Fire			1
2134	The fire caught in the school bus,  kids are in danger	Emergency	Fire	Emergency	Fire	E_Fire			1
2135	I have heard the fire alarm	Emergency	Fire	Emergency	Fire	E_Fire			1
2138	His body got 70 percent burnt with the fire	Emergency	Fire	Emergency	Fire	E_Fire			1
2139	I am getting smell of burning in house	Emergency	Fire	Emergency	Fire	E_Fire			1
2140	The car is burning , call for help	Emergency	Fire	Emergency	Fire	E_Fire			1
2141	The house is burning , inform the owner	Emergency	Fire	Emergency	Fire	E_Fire			1
2144	Help me I stucked in the burning house	Emergency	Fire	Emergency	Fire	E_Fire			1
2145	The train is burning due to short circuit	Emergency	Fire	Emergency	Fire	E_Fire			1
2148	I am not well.Could you please take me to the hospital?	Emergency	Health	Emergency	Health	E_Health			1
2149	My kid is Unwell,Please arrange a ambulance	Emergency	Health	Emergency	Health	E_Health			1
2150	One of my releation is unwell	Emergency	Health	Emergency	Health	E_Health			1
2151	I will be on leave today because of health issue	Emergency	Health	Emergency	Health	E_Health			1
2152	Please send me the direction of any near by hospital	Emergency	Health	Emergency	Health	E_Health			1
2153	Could you please call the ambulance	Emergency	Health	Emergency	Health	E_Health			1
2154	can anyonce call the ambulance?	Emergency	Health	Emergency	Health	E_Health			1
2155	One of friend is in need of blood.	Emergency	Health	Emergency	Health	E_Health			1
2156	call to this number if any emergency	Emergency	Health	Emergency	Health	E_Health			1
2157	call ambulance if any emergency is there	Emergency	Health	Emergency	Health	E_Health			1
2158	Are you in any emergency?	Emergency	Health	Emergency	Health	E_Health			1
2159	Please dial emergency number xxx for health related	Emergency	Health	Emergency	Health	E_Health			1
2160	Please dial 108 for ambulance	Emergency	Health	Emergency	Health	E_Health			1
2162	call me after sometime, I am in a hurry, as my family member not well, met with accident	Emergency	Health	Emergency	Health	E_Health			1
2163	My cousin has met with an accident	Emergency	Health	Emergency	Health	E_Health			1
2164	Could you help in my cousin's blood donation	Emergency	Health	Emergency	Health	E_Health			1
2165	What is normal  BP range ? Has somebody fainted because of BP variation	Emergency	Health	Emergency	Health	E_Health			1
2173	what should I do, to stop blood flow from body	Urgent	Information	Emergency	Health	E_Health			1
2174	Get me the tablets for my cold and fever , it is troubling me from last night	Emergency	Health	Emergency	Health	E_Health			1
2175	let me know the tablet name	Emergency	Health	Emergency	Health	E_Health			1
2184	What is your blood group? Somebdoy requires A+ve blood group	Emergency	Health	Emergency	Health	E_Health			1
2185	what is the Tom blood group? He met with accident	Emergency	Health	Emergency	Health	E_Health			1
2189	Help Help!!, call Ambulance , as somebody met with accident on road	Emergency	Health	Emergency	Health	E_Health			1
2190	Hospital name? for getting treated for cancer	Emergency	Health	Emergency	Health	E_Health			1
2193	when the doctor is  going to visit the hospital? It is serious for my maid	Emergency	Health	Emergency	Health	E_Health			1
2195	Blood Reports are positive or negative?	Emergency	Health	Emergency	Health	E_Health			1
2200	Thief entered  our house , call police for help	Emergency	Police	Emergency	Police	E_Police			1
2201	If I lost my gold in Home , call police for investigation	Emergency	Police	Emergency	Police	E_Police			1
2203	while teaching others  skating, he fell down from stairs	Emergency	Health	Emergency	Health	E_Health			1
2204	Anything going wrong on roads , as lights where off and people are screaming	Emergency	Police	Emergency	Police	E_Police			1
2206	somebody kidnapped our family memebers , please help	Emergency	Police	Emergency	Police	E_Police			1
