S.No	Message	Category	Sub Category	New Sub Category	Negative or Not	Remarks
10034	you are in a lot of pain, go see a doctor now	Emergency	Health	E_Health		
2794	Lets review about the meeting.	To-Do	General	TD_General		
1439	I'll call at seven.	To-Do	General	TD_General		
8765	So, see you all then in the next meeting	General	General	G_General		
489	Call me once before you start for the party	To-Do	General	TD_General		
9983	Sounds like something that someone testing me would sayy.It's ok..Meet him on Saturday	To-Do	General	TD_General		
12226	Rs. 1000.00 has been paid to XXXXXX. For future reference, wallet transaction id is XXXXXXX. Upto Rs 150 Cashback on movie tickets. http://m.p-y.tm/ee4 Book now	General	General	G_General		
6609	plan for lunch with the boss	To-Do	General	TD_General		
776	he wil meet on Sunday	To-Do	General	TD_General		
9387	Please provide me with the doctor number	Emergency	Health	E_Health		
47	let's meet in coffe day	To-Do	General	TD_General		
4538	Celebrating 25th anniversary of my parents this 18th april, pleace grace the occasion with your presence	To-Do	Event	TD_Event		
10963	Dont want to go to school.Feeling Sick	Emergency	Health	E_Health		
12705	Like anything in protocol or eas	General	General	G_General		
868	They're having a meeting today at 4pm	To-Do	Event	TD_Event		
3575	He is not wearing the seat and driving the car	Emergency	Police	E_Police		
7003	Woman dies during fire mock safety drill in Bangalore	General	General	G_General		
6199	It's a very urgent matter.	To-Do	Urgent_Normal	TD_Urgent_Normal		
3275	Indian Flag is not hoisted properly.	Emergency	Police	E_Police		
5472	We will gather near bus at 9pm	To-Do	Event	TD_Event		
3288	Few men behaving mischievous with girls.	Emergency	Police	E_Police		
7722	Someone is running behind me so I need help	Emergency	Personal	E_Personal		
5316	call to your friend immediately for your help	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
12731	So it's up to us, we'll try to do out best	To-Do	General	TD_General		
10615	He is not feeling well ,take him to hospital immediately	Emergency	Health	E_Health		
11317	huge traffic in the ring raod May take more time to reach home.	General	General	G_General		
9731	I need help to get an ambulance	Emergency	Health	E_Health		
12197	Pls switch off lights in Clubhouse in morning if no one is using	To-Do	General	TD_General		
5177	fire on the first floor, where is the fire extinguisher	Emergency	Fire	E_Fire		
7896	I met with Accident	To-Do	Urgent_Normal	TD_Urgent_Normal		
5866	fill bank online from by today	To-Do	Urgent_Normal	TD_Urgent_Normal		
4038	Accident at a near by place	Emergency	Police	E_Police		
8287	Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622	To-Do	General	TD_General		
3835	Passport application got rejected, visiting passport office	To-Do	Urgent_Normal	TD_Urgent_Normal		
5536	Be ready for a daily meeting at 2.30 pm as the exams are nearing	To-Do	Event	TD_Event		
7388	I need to cancel the appointment I made to see you on next January 29, at 9:00 a.m.	General	General	G_General		
11714	Pls call back when free	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
5485	I have to write an email to my colleagues to invite them for a business meeting	To-Do	Event	TD_Event		
542	make a call from my phone	To-Do	General	TD_General		
4787	It’s time for you to schedule an orthodontic appointment. Please reply to schedule this appointment	To-Do	Urgent_Normal	TD_Urgent_Normal		
829	We'll meet in the park tomorrow	To-Do	General	TD_General		
3831	People are dumping waist/garbage empty site near house, inform corporator	To-Do	Urgent_Normal	TD_Urgent_Normal		
12640	Dear Member, Thank you for shopping at Moustache Jeans. You have earned 123.6 points. Total points in your account are 123.6.	General	General	G_General		
5086	call Tom immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
10188	Going to take your babe out ?	General	General	G_General		
2180	who is in the hospital?	General	General	G_General_Neg	N_Emergency_Health	
10287	My sort code is and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!	To-Do	General	TD_General		
11717	548900 is your verification code for OYO Rooms.	General	General	G_General		
1122	I'd like a wake-up call at seven tomorrow morning.	To-Do	Event	TD_Event		
6663	Gas cylinder explodes after fire breaks out at a godown . Please help	Emergency	Fire	E_Fire		
3574	I saw people drunk and driving the vehical	Emergency	Police	E_Police		
5705	check water level in air cooler today	To-Do	General	TD_General		
12609	Don't miss out on your special Westside B'day Discount. Use Coupon Code BD09281540 before 28th feb & get 20% discount. Ignore if redeemed already. T&C apply	General	General	G_General		
8795	Perhaps we should meet up sometime.	General	General	G_General		
13072	The new bookstore across the street is on fire, call fire brigade immediately	Emergency	Fire	E_Fire		
12227	Turtle END OF SEASON SALE continues! Enjoy upto 50% discount on Shirts,Trousers,Jeans,Suits,Blazers,Wind-Cheaters,Pullovers, & Sweat-Shirts.T&C	General	General	G_General		
10589	Tom need to go to patients home immerdiately	To-Do	Urgent_Normal	TD_Urgent_Normal		
11690	Ok .. Will come over soon	General	General	G_General		
2730	Your appointment with me is at 4pm this afternoon.	To-Do	Event	TD_Event		
